broad_category,count
cs,733461
math,570140
cond-mat,344417
astro-ph,331891
physics,207108
hep-ph,141477
quant-ph,128182
hep-th,112077
gr-qc,70608
eess,70243
stat,60482
nucl-th,35404
math-ph,33812
q-bio,33644
hep-ex,24814
nlin,20581
hep-lat,18955
q-fin,13243
nucl-ex,12329
econ,10932
chao-dyn,1770
alg-geom,1209
q-alg,1177
cmp-lg,894
solv-int,844
dg-ga,562
patt-sol,452
funct-an,320
adap-org,306
mtrl-th,165
comp-gas,140
chem-ph,129
supr-con,69
atom-ph,68
acc-phys,46
plasm-ph,28
ao-sci,13
bayes-an,11
